avg_rating,avg_review,avg_distance,no_of_bars_yelp,ll
3.7,101.73,935.92,15,"49.262255,-123.126217"
3.85,77.2,1037.05,10,"49.257654,-123.153212"
3.73,77.23,772.81,13,"49.25919,-123.148268"
3.73,75.09,871.38,11,"49.25741,-123.148531"
3.82,160.6,531.04,50,"49.285953,-123.124066"
3.68,147.38,613.61,50,"49.280881,-123.130672"
3.7,62.2,615.94,5,"49.256845,-123.120071"
3.82,84.68,698.17,34,"49.25849,-123.104799"
3.83,79.18,624.6,33,"49.258425,-123.100792"
3.65,103.6,784.17,50,"49.270905,-123.126006"
3.65,114.7,672.5,50,"49.273568,-123.129935"
3.68,111.68,420.7,50,"49.277141,-123.122589"
3.81,117.14,696.23,29,"49.267859,-123.145782"
3.79,117.11,718.66,28,"49.265336,-123.145823"
3.62,112.12,930.41,43,"49.267628,-123.127698"
3.8,132.87,863.99,23,"49.275938,-123.145939"
3.93,134.56,736.22,50,"49.2756,-123.102661"
3.88,142.7,505.79,50,"49.284157,-123.099917"
3.85,72.77,946.59,13,"49.258924,-123.152591"
3.77,118.96,623.38,24,"49.266774,-123.141135"
3.96,85.85,579.59,13,"49.273355,-123.154493"
3.91,88.27,663.98,11,"49.276144,-123.151272"
3.85,77.59,678.43,17,"49.268339,-123.157443"
3.85,118.68,645.74,50,"49.284062,-123.095097"
3.69,96.56,882.61,16,"49.261742,-123.13148"
3.76,89.09,740.71,35,"49.262206,-123.109091"
3.73,94.16,865.24,50,"49.27023,-123.10651"
3.82,86.94,561.79,33,"49.262062,-123.104656"
3.76,86.64,823.05,47,"49.27033,-123.10275"
3.8,73.7,821.63,33,"49.258902,-123.109596"
3.75,148.84,704.54,50,"49.282224,-123.132778"
3.57,137.0,847.31,14,"49.265071,-123.123864"
3.64,127.09,881.37,22,"49.265198,-123.131043"
3.78,89.74,767.76,50,"49.273691,-123.102232"
3.81,89.23,645.63,31,"49.2685027,-123.0975014"
3.87,146.82,531.11,50,"49.278529,-123.100017"
3.9,171.36,605.69,50,"49.288682,-123.11818"
3.73,77.23,689.74,13,"49.258864,-123.14353"
3.85,77.59,631.39,17,"49.271741,-123.155421"
3.85,121.26,735.3,23,"49.262822,-123.14338"
3.81,101.58,436.05,31,"49.263635,-123.099236"
