avg_rating,avg_review,avg_distance,no_of_bars_yelp,ll
3.78,80.21,914.06,43,"49.273777,-123.092723"
3.53,54.94,887.58,17,"49.265005,-123.079481"
3.53,54.94,968.73,17,"49.265024,-123.08127"
3.47,52.28,299.06,18,"49.271377,-123.069416"
3.47,52.28,323.21,18,"49.268616,-123.069908"
3.47,54.76,388.27,17,"49.266969,-123.069936"
3.46,55.21,642.78,14,"49.263242,-123.070521"
3.35,40.5,741.06,10,"49.261403,-123.070102"
3.79,50.0,715.34,7,"49.261263,-123.073707"
3.5,41.71,1060.94,14,"49.262242,-123.081459"
3.81,89.41,666.83,29,"49.262321,-123.09306"
3.47,59.93,655.9,15,"49.264251,-123.073853"
3.47,54.76,508.09,17,"49.266751,-123.073501"
3.47,52.28,434.6,18,"49.270684,-123.073562"
3.47,36.84,525.14,19,"49.2731,-123.0732"
3.91,110.82,720.46,28,"49.254667,-123.101389"
3.82,97.18,689.22,28,"49.256694,-123.096579"
3.82,83.97,673.1,31,"49.258352,-123.096337"
3.82,71.8,779.17,30,"49.258817,-123.092797"
3.87,79.65,837.26,26,"49.26151,-123.089413"
3.83,87.21,849.28,24,"49.263382,-123.088837"
3.88,34.12,816.18,8,"49.261353,-123.085333"
3.86,38.86,817.21,7,"49.264466,-123.085183"
3.89,44.89,665.66,18,"49.280197,-123.065859"
3.47,54.76,503.7,17,"49.266725,-123.065925"
3.79,50.0,710.28,7,"49.261188,-123.066009"
3.75,147.5,888.18,2,"49.256857,-123.065646"
4.0,32.77,518.55,13,"49.283986,-123.065264"
3.86,27.29,934.89,7,"49.257985,-123.083366"
3.83,92.93,924.44,27,"49.257939,-123.089531"
3.75,147.5,969.08,2,"49.256496,-123.075426"
4.09,34.27,526.11,11,"49.283236,-123.070443"
3.81,63.62,850.97,26,"49.267266,-123.090786"
3.78,88.1,575.26,29,"49.265242,-123.095577"
3.84,63.72,767.93,25,"49.265213,-123.090785"
0.0,0.0,0.0,0,"49.302577,-123.155616"
3.86,122.46,683.76,50,"49.277595,-123.09583"
3.77,82.1,828.93,31,"49.279235,-123.087528"
3.79,83.27,914.85,33,"49.277333,-123.087359"
3.59,38.95,546.72,22,"49.273103,-123.069892"
3.81,89.41,484.01,29,"49.261973,-123.09725"
3.59,131.4,709.81,50,"49.275295,-123.132585"
3.82,161.46,564.87,50,"49.285871,-123.12105"
3.77,167.96,620.76,50,"49.284893,-123.128685"
3.7,114.37,824.03,30,"49.263962,-123.112621"
3.84,100.34,761.55,44,"49.277615,-123.091654"
3.84,166.22,510.78,50,"49.282214,-123.114101"
3.73,90.78,559.89,32,"49.266456,-123.100324"
3.74,93.62,661.9,34,"49.268216,-123.103168"
3.88,181.86,485.38,50,"49.284554,-123.111031"
3.75,115.76,488.85,50,"49.280216,-123.117639"
3.48,107.17,826.13,23,"49.266314,-123.116011"
3.82,61.35,835.75,17,"49.280852,-123.084746"
3.54,111.38,789.06,48,"49.285512,-123.1384"
3.63,140.36,831.34,50,"49.27821,-123.136972"
3.53,89.68,856.77,47,"49.281301,-123.139108"
3.71,82.97,790.6,31,"49.283298,-123.142288"
3.8,143.26,510.51,50,"49.280787,-123.115271"
3.62,91.85,886.22,46,"49.266476,-123.109389"
3.66,135.29,774.09,41,"49.290587,-123.13625"
0.0,0.0,0.0,0,"49.312568,-123.144177"
3.95,77.58,851.2,19,"49.262835,-123.152626"
3.77,96.58,757.0,31,"49.256825,-123.105234"
3.61,109.62,498.23,50,"49.275683,-123.124388"
3.78,104.87,561.51,30,"49.263518,-123.09568"
3.73,161.3,629.62,50,"49.28691,-123.128818"
3.76,149.62,531.61,50,"49.282503,-123.124697"
3.67,103.58,756.21,50,"49.283749,-123.136133"
3.85,121.26,815.28,23,"49.262944,-123.148109"
3.66,95.0,882.72,49,"49.27029,-123.135025"
3.85,46.31,699.9,13,"49.280427,-123.074082"
3.67,109.22,474.19,50,"49.279259,-123.119145"
3.75,167.66,579.39,50,"49.285836,-123.127265"
3.87,52.67,912.44,15,"49.272969,-123.164325"
3.65,53.5,895.9,10,"49.27247,-123.185643"
3.79,53.29,790.69,14,"49.271471,-123.17731"
3.8,152.58,726.97,50,"49.290112,-123.127062"
3.89,84.36,772.99,14,"49.263523,-123.155267"
3.78,53.56,760.78,16,"49.264928,-123.168068"
3.79,53.29,550.02,14,"49.264483,-123.173926"
3.68,54.82,459.18,11,"49.264579,-123.18373"
3.47,59.93,609.38,15,"49.263746,-123.069892"
3.82,74.45,926.55,11,"49.258761,-123.127071"
3.5,61.38,765.22,8,"49.268974,-123.190701"
3.87,78.0,756.06,15,"49.273011,-123.159663"
3.79,53.29,554.61,14,"49.266924,-123.173849"
3.87,52.67,795.68,15,"49.264326,-123.164725"
3.68,54.82,473.14,11,"49.266636,-123.183661"
3.88,102.08,980.66,13,"49.254818,-123.114785"
3.79,53.29,593.73,14,"49.268837,-123.177633"
3.7,62.2,774.56,5,"49.255034,-123.120226"
3.79,41.67,798.78,12,"49.271044,-123.170661"
3.94,126.36,693.24,25,"49.252691,-123.101289"
3.8,82.36,801.13,42,"49.272172,-123.097978"
3.67,71.0,851.31,6,"49.271082,-123.191458"
3.53,114.88,575.26,50,"49.27808,-123.130557"
3.69,92.42,907.81,50,"49.269969,-123.109623"
3.6,94.55,654.9,29,"49.287528,-123.142139"
3.6,94.55,671.19,29,"49.28803,-123.142135"
3.76,46.06,904.99,17,"49.259579,-123.114769"
3.57,112.38,659.44,34,"49.2890705989865,-123.138407369468"
3.79,148.44,610.96,50,"49.287782,-123.12395"
3.86,180.3,503.72,50,"49.28512,-123.11242"
0.0,0.0,0.0,0,"49.247854,-123.153422"
3.65,89.78,887.53,36,"49.265939,-123.1129"
3.85,72.17,510.35,30,"49.261122,-123.097571"
3.59,92.92,940.48,50,"49.267725,-123.11311"
4.0,1.0,619.84,1,"49.245135,-123.116098"
3.59,128.26,669.12,50,"49.274232,-123.129998"
4.0,23.0,598.66,1,"49.238105,-123.154966"
0.0,0.0,0.0,0,"49.246243,-123.124373"
4.06,146.94,546.07,16,"49.249722,-123.104991"
3.95,149.82,516.99,11,"49.243375,-123.104978"
3.96,34.57,651.05,14,"49.282087,-123.056909"
4.0,32.77,539.14,13,"49.283968,-123.061615"
4.04,34.67,734.75,12,"49.287464,-123.060771"
4.0,32.77,610.15,13,"49.285575,-123.061575"
4.17,2.67,816.11,3,"49.251358,-123.115637"
4.5,1.0,849.64,2,"49.249184,-123.116141"
4.0,1.0,942.16,1,"49.245535,-123.120496"
3.62,143.18,748.56,50,"49.289255,-123.132677"
0.0,0.0,0.0,0,"49.252656,-123.067965"
3.55,114.24,534.9,50,"49.277527,-123.129464"
3.73,77.23,686.08,13,"49.259469,-123.145718"
